invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,,,,,,,,,,,,
I100323,C107529,Male,66,Cosmetics,3,121.98,Debit Card,19-05-22,Kanyon,365.94,,,,,,,,,,,,
I100324,C288166,Female,61,Clothing,5,1500.4,Debit Card,30-12-22,Metropol AVM,7502,,,,,,,,,,,,
I100328,C152052,Female,69,Food & Beverage,3,15.69,Credit Card,22-04-22,Kanyon,47.07,,,,,,,,,,,,
I100330,C453598,Male,26,Cosmetics,5,203.3,Credit Card,15-07-22,Metrocity,1016.5,,,,,,,,,,,,
I100336,C202040,Female,39,Food & Beverage,1,5.23,Cash,01-08-22,Metropol AVM,5.23,,,,,,,,,,,,
I100338,C779694,Male,62,Food & Beverage,2,10.46,Cash,29-06-22,Viaport Outlet,20.92,,,,,,,,,,,,
I100354,C135028,Male,22,Technology,1,1050,Credit Card,24-08-21,Metropol AVM,1050,,,,,,,,,,,,
I100355,C189409,Female,57,Clothing,5,1500.4,Cash,25-10-22,Kanyon,7502,,,,,,,,,,,,
I100357,C494452,Female,23,Cosmetics,3,121.98,Debit Card,02-05-21,Forum Istanbul,365.94,,,,,,,,,,,,
I100358,C339237,Female,21,Cosmetics,5,203.3,Cash,22-09-21,Metrocity,1016.5,,,,,,,,,,,,
I100361,C224357,Female,26,Food & Beverage,5,26.15,Cash,29-06-21,Viaport Outlet,130.75,,,,,,,,,,,,
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,15-04-21,Zorlu Center,1200.32,,,,,,,,,,,,
I100365,C624809,Female,47,Clothing,5,1500.4,Credit Card,19-05-21,Emaar Square Mall,7502,,,,,,,,,,,,
I100366,C296054,Female,69,Clothing,1,300.08,Debit Card,05-07-21,Cevahir AVM,300.08,,,,,,,,,,,,
I100367,C268495,Male,61,Food & Beverage,5,26.15,Cash,22-11-21,Kanyon,130.75,,,,,,,,,,,,
I100368,C168429,Female,63,Food & Beverage,1,5.23,Credit Card,17-01-22,Kanyon,5.23,,,,,,,,,,,,
I100377,C272529,Female,62,Toys,3,107.52,Debit Card,23-12-21,Metrocity,322.56,,,,,,,,,,,,
I100381,C243648,Female,36,Clothing,2,600.16,Cash,02-12-22,Forum Istanbul,1200.32,,,,,,,,,,,,
I100387,C234074,Female,21,Food & Beverage,2,10.46,Cash,16-05-21,Mall of Istanbul,20.92,,,,,,,,,,,,
I100397,C262466,Female,34,Cosmetics,1,40.66,Debit Card,24-09-21,Forum Istanbul,40.66,,,,,,,,,,,,
I100399,C250107,Female,46,Food & Beverage,5,26.15,Cash,01-02-22,Mall of Istanbul,130.75,,,,,,,,,,,,
I100400,C271625,Female,62,Shoes,4,2400.68,Credit Card,16-01-21,Metrocity,9602.72,,,,,,,,,,,,
I100401,C291610,Female,34,Shoes,3,1800.51,Credit Card,06-03-23,Cevahir AVM,5401.53,,,,,,,,,,,,
I100404,C116794,Female,64,Cosmetics,1,40.66,Credit Card,03-11-21,Mall of Istanbul,40.66,,,,,,,,,,,,
I100406,C146640,Male,62,Cosmetics,3,121.98,Credit Card,16-06-21,Kanyon,365.94,,,,,,,,,,,,
I100408,C128638,Female,37,Toys,3,107.52,Cash,09-08-21,Kanyon,322.56,,,,,,,,,,,,
I100412,C313809,Female,35,Food & Beverage,2,10.46,Credit Card,18-09-22,Metrocity,20.92,,,,,,,,,,,,
I100414,C233655,Male,56,Souvenir,2,23.46,Debit Card,10-01-23,Mall of Istanbul,46.92,,,,,,,,,,,,
I100417,C310007,Female,46,Clothing,3,900.24,Cash,17-07-22,Mall of Istanbul,2700.72,,,,,,,,,,,,
I100419,C937473,Male,53,Souvenir,2,23.46,Credit Card,21-04-22,Mall of Istanbul,46.92,,,,,,,,,,,,
I100420,C261035,Female,69,Cosmetics,3,121.98,Credit Card,06-07-21,Viaport Outlet,365.94,,,,,,,,,,,,
I100423,C664680,Female,33,Food & Beverage,4,20.92,Debit Card,22-04-21,Metrocity,83.68,,,,,,,,,,,,
I100425,C386315,Female,52,Cosmetics,1,40.66,Cash,29-08-21,Metropol AVM,40.66,,,,,,,,,,,,
I100426,C133701,Female,47,Cosmetics,3,121.98,Cash,24-12-22,Istinye Park,365.94,,,,,,,,,,,,
I100434,C295965,Male,61,Cosmetics,4,162.64,Cash,14-07-21,Mall of Istanbul,650.56,,,,,,,,,,,,
I100439,C224698,Male,26,Shoes,5,3000.85,Credit Card,02-03-23,Metropol AVM,15004.25,,,,,,,,,,,,
I100441,C202089,Female,43,Cosmetics,3,121.98,Cash,09-09-22,Istinye Park,365.94,,,,,,,,,,,,
I100443,C826051,Female,30,Souvenir,4,46.92,Debit Card,16-04-21,Istinye Park,187.68,,,,,,,,,,,,
I100445,C307576,Female,18,Clothing,1,300.08,Debit Card,02-11-21,Istinye Park,300.08,,,,,,,,,,,,
I100454,C851133,Female,40,Toys,3,107.52,Debit Card,24-02-23,Istinye Park,322.56,,,,,,,,,,,,
I100455,C191387,Female,56,Souvenir,5,58.65,Cash,04-09-22,Metropol AVM,293.25,,,,,,,,,,,,
I100458,C150447,Female,19,Toys,2,71.68,Credit Card,12-04-22,Metrocity,143.36,,,,,,,,,,,,
I100459,C194835,Female,37,Clothing,3,900.24,Debit Card,18-09-21,Metrocity,2700.72,,,,,,,,,,,,
I100462,C363980,Female,46,Souvenir,5,58.65,Cash,04-01-21,Metropol AVM,293.25,,,,,,,,,,,,
I100464,C129826,Male,44,Clothing,2,600.16,Debit Card,01-05-21,Mall of Istanbul,1200.32,,,,,,,,,,,,
I100465,C211946,Female,57,Clothing,1,300.08,Cash,14-01-22,Mall of Istanbul,300.08,,,,,,,,,,,,
I100466,C235798,Male,30,Clothing,4,1200.32,Debit Card,30-09-21,Forum Istanbul,4801.28,,,,,,,,,,,,
I100470,C219411,Female,32,Shoes,1,600.17,Credit Card,08-11-21,Istinye Park,600.17,,,,,,,,,,,,
I100472,C176862,Male,43,Cosmetics,1,40.66,Cash,01-09-21,Mall of Istanbul,40.66,,,,,,,,,,,,
I100473,C607315,Female,51,Books,5,75.75,Debit Card,01-01-21,Mall of Istanbul,378.75,,,,,,,,,,,,
I100484,C135857,Male,50,Clothing,1,300.08,Debit Card,26-01-21,Mall of Istanbul,300.08,,,,,,,,,,,,
I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,19-02-21,Kanyon,650.56,,,,,,,,,,,,
I100491,C212593,Male,57,Shoes,4,2400.68,Credit Card,29-03-21,Kanyon,9602.72,,,,,,,,,,,,
I100494,C227575,Male,56,Toys,3,107.52,Debit Card,19-12-21,Metrocity,322.56,,,,,,,,,,,,
I100496,C174558,Female,51,Clothing,2,600.16,Cash,26-11-21,Metrocity,1200.32,,,,,,,,,,,,
I100498,C498727,Female,63,Technology,5,5250,Cash,03-02-23,Cevahir AVM,26250,,,,,,,,,,,,
I100499,C114407,Male,45,Clothing,5,1500.4,Cash,09-05-21,Cevahir AVM,7502,,,,,,,,,,,,
I100501,C338282,Female,18,Technology,1,1050,Debit Card,31-08-21,Metrocity,1050,,,,,,,,,,,,
I100502,C238358,Male,28,Toys,1,35.84,Credit Card,10-10-21,Mall of Istanbul,35.84,,,,,,,,,,,,
I100504,C703075,Female,59,Shoes,2,1200.34,Cash,31-03-21,Mall of Istanbul,2400.68,,,,,,,,,,,,
I100508,C249896,Female,20,Clothing,3,900.24,Debit Card,24-03-21,Viaport Outlet,2700.72,,,,,,,,,,,,
I100512,C208841,Male,36,Food & Beverage,3,15.69,Debit Card,13-04-22,Kanyon,47.07,,,,,,,,,,,,
I100519,C233898,Male,49,Clothing,4,1200.32,Credit Card,25-01-21,Kanyon,4801.28,,,,,,,,,,,,
I100522,C100218,Male,26,Clothing,5,1500.4,Cash,06-11-21,Kanyon,7502,,,,,,,,,,,,
I100526,C356129,Male,35,Cosmetics,3,121.98,Debit Card,17-08-22,Mall of Istanbul,365.94,,,,,,,,,,,,
I100527,C274542,Male,54,Clothing,1,300.08,Cash,26-06-22,Metrocity,300.08,,,,,,,,,,,,
I100537,C392460,Female,62,Souvenir,3,35.19,Debit Card,05-04-22,Kanyon,105.57,,,,,,,,,,,,
I100538,C312561,Female,65,Clothing,3,900.24,Cash,19-01-22,Istinye Park,2700.72,,,,,,,,,,,,
I100540,C641482,Female,35,Clothing,2,600.16,Credit Card,14-06-22,Metrocity,1200.32,,,,,,,,,,,,
I100541,C155234,Female,65,Souvenir,2,23.46,Cash,10-05-21,Istinye Park,46.92,,,,,,,,,,,,
I100542,C273404,Male,23,Souvenir,3,35.19,Credit Card,05-06-21,Istinye Park,105.57,,,,,,,,,,,,
I100543,C193964,Female,52,Food & Beverage,2,10.46,Cash,05-03-22,Mall of Istanbul,20.92,,,,,,,,,,,,
I100547,C173500,Male,49,Food & Beverage,1,5.23,Credit Card,07-08-21,Mall of Istanbul,5.23,,,,,,,,,,,,
I100550,C123577,Female,38,Souvenir,5,58.65,Cash,22-11-22,Cevahir AVM,293.25,,,,,,,,,,,,
I100552,C213606,Female,30,Food & Beverage,3,15.69,Credit Card,09-11-21,Metropol AVM,47.07,,,,,,,,,,,,
I100555,C701082,Female,44,Clothing,3,900.24,Cash,10-09-22,Kanyon,2700.72,,,,,,,,,,,,
I100558,C209906,Male,27,Cosmetics,3,121.98,Credit Card,25-05-21,Istinye Park,365.94,,,,,,,,,,,,
I100561,C255643,Female,26,Clothing,4,1200.32,Debit Card,29-08-21,Cevahir AVM,4801.28,,,,,,,,,,,,
I100565,C833577,Male,42,Clothing,5,1500.4,Cash,17-09-22,Metropol AVM,7502,,,,,,,,,,,,
I100566,C266257,Male,21,Clothing,2,600.16,Cash,10-10-22,Metrocity,1200.32,,,,,,,,,,,,
I100567,C272165,Male,18,Toys,5,179.2,Credit Card,03-01-21,Mall of Istanbul,896,,,,,,,,,,,,
I100571,C668914,Male,66,Clothing,1,300.08,Debit Card,07-01-23,Zorlu Center,300.08,,,,,,,,,,,,
I100572,C245347,Female,67,Clothing,1,300.08,Cash,30-07-21,Istinye Park,300.08,,,,,,,,,,,,
I100578,C108143,Female,67,Shoes,4,2400.68,Cash,28-02-23,Zorlu Center,9602.72,,,,,,,,,,,,
I100579,C260481,Female,36,Food & Beverage,3,15.69,Credit Card,24-09-22,Kanyon,47.07,,,,,,,,,,,,
I100580,C131158,Female,68,Toys,3,107.52,Cash,14-09-22,Cevahir AVM,322.56,,,,,,,,,,,,
I100582,C638859,Female,66,Clothing,2,600.16,Cash,02-11-21,Istinye Park,1200.32,,,,,,,,,,,,
I100586,C580838,Female,62,Clothing,2,600.16,Credit Card,18-03-22,Istinye Park,1200.32,,,,,,,,,,,,
I100591,C881158,Male,23,Toys,1,35.84,Credit Card,20-02-22,Metrocity,35.84,,,,,,,,,,,,
I100593,C240318,Male,23,Technology,2,2100,Cash,11-06-21,Mall of Istanbul,4200,,,,,,,,,,,,
I100599,C114161,Male,27,Shoes,2,1200.34,Credit Card,24-11-21,Mall of Istanbul,2400.68,,,,,,,,,,,,
I100601,C180415,Male,49,Toys,4,143.36,Cash,09-06-22,Mall of Istanbul,573.44,,,,,,,,,,,,
I100607,C315778,Male,60,Clothing,5,1500.4,Debit Card,27-11-21,Kanyon,7502,,,,,,,,,,,,
I100610,C122598,Male,64,Books,5,75.75,Debit Card,06-04-22,Mall of Istanbul,378.75,,,,,,,,,,,,
I100611,C234086,Male,55,Toys,3,107.52,Cash,21-03-22,Metropol AVM,322.56,,,,,,,,,,,,
I100614,C261517,Female,41,Cosmetics,5,203.3,Cash,11-07-21,Cevahir AVM,1016.5,,,,,,,,,,,,
I100615,C197426,Female,57,Clothing,5,1500.4,Cash,12-05-22,Mall of Istanbul,7502,,,,,,,,,,,,
I100617,C745941,Male,56,Books,5,75.75,Cash,06-07-22,Zorlu Center,378.75,,,,,,,,,,,,
I100618,C911820,Male,23,Books,2,30.3,Credit Card,04-03-21,Metrocity,60.6,,,,,,,,,,,,
I100622,C306817,Female,45,Clothing,3,900.24,Credit Card,18-01-23,Kanyon,2700.72,,,,,,,,,,,,
I100624,C552809,Female,26,Clothing,5,1500.4,Debit Card,05-03-21,Metrocity,7502,,,,,,,,,,,,
I100627,C132581,Male,54,Books,3,45.45,Debit Card,10-12-22,Metrocity,136.35,,,,,,,,,,,,
I100628,C135129,Male,25,Clothing,1,300.08,Cash,09-04-22,Viaport Outlet,300.08,,,,,,,,,,,,
I100630,C753708,Female,66,Food & Beverage,4,20.92,Debit Card,02-04-22,Kanyon,83.68,,,,,,,,,,,,
I100634,C461631,Female,22,Clothing,5,1500.4,Cash,23-05-22,Kanyon,7502,,,,,,,,,,,,
I100635,C289537,Female,69,Clothing,4,1200.32,Debit Card,03-06-21,Metropol AVM,4801.28,,,,,,,,,,,,
I100639,C231484,Male,65,Technology,4,4200,Credit Card,02-05-22,Metrocity,16800,,,,,,,,,,,,
I100651,C180588,Female,41,Cosmetics,2,81.32,Credit Card,15-09-21,Metropol AVM,162.64,,,,,,,,,,,,
I100652,C214732,Female,67,Clothing,2,600.16,Credit Card,17-01-23,Cevahir AVM,1200.32,,,,,,,,,,,,
I100656,C337441,Female,54,Cosmetics,2,81.32,Cash,18-02-23,Metropol AVM,162.64,,,,,,,,,,,,
I100659,C562791,Male,27,Souvenir,3,35.19,Cash,14-07-21,Emaar Square Mall,105.57,,,,,,,,,,,,
I100663,C322131,Female,41,Food & Beverage,5,26.15,Cash,26-09-21,Mall of Istanbul,130.75,,,,,,,,,,,,
I100664,C603641,Male,62,Clothing,2,600.16,Debit Card,19-10-21,Mall of Istanbul,1200.32,,,,,,,,,,,,
